score	scop40/scop40	scop40/scop40c
0.2	>10	>10
0.3	>10	>10
0.4	>10	>10
0.5	>10	>10
0.6	2.63	1.27
0.7	0.359	0.124
0.8	0.0489	0.0122
0.9	0.00667	0.00119
